Subject ID	Slice Order Type	S2: Slice Order Type
IPCAS_8_0025589	IA	IA
IPCAS_8_0025590	IA	IA
IPCAS_8_0025591	IA	IA
IPCAS_8_0025592	IA	IA
IPCAS_8_0025593	IA	IA
IPCAS_8_0025594	IA	IA
IPCAS_8_0025595	IA	IA
IPCAS_8_0025596	IA	IA
IPCAS_8_0025597	IA	IA
IPCAS_8_0025598	IA	IA
JHNU_0025599	IA2	IA2
JHNU_0025600	IA2	IA2
JHNU_0025601	IA2	IA2
JHNU_0025602	IA2	IA2
JHNU_0025603	IA2	IA2
JHNU_0025604	IA2	IA2
JHNU_0025605	IA2	IA2
JHNU_0025606	IA2	IA2
JHNU_0025607	IA2	IA2
JHNU_0025608	IA2	IA2
JHNU_0025609	IA2	IA2
JHNU_0025610	IA2	IA2
JHNU_0025611	IA2	IA2
JHNU_0025612	IA2	IA2
JHNU_0025613	IA2	IA2
JHNU_0025614	IA2	IA2
JHNU_0025615	IA2	IA2
JHNU_0025616	IA2	IA2
JHNU_0025617	IA2	IA2
JHNU_0025618	IA2	IA2
JHNU_0025619	IA2	IA2
JHNU_0025620	IA2	IA2
JHNU_0025621	IA2	IA2
JHNU_0025622	IA2	IA2
JHNU_0025623	IA2	IA2
JHNU_0025624	IA2	IA2
JHNU_0025625	IA2	IA2
JHNU_0025626	IA2	IA2
JHNU_0025627	IA2	IA2
JHNU_0025628	IA2	IA2
LMU_3_0025402	IA2	IA2
LMU_3_0025403	IA2	IA2
LMU_3_0025404	IA2	IA2
LMU_3_0025405	IA2	IA2
LMU_3_0025406	IA2	IA2
LMU_3_0025407	IA2	IA2
LMU_3_0025408	IA2	IA2
LMU_3_0025409	IA2	IA2
LMU_3_0025410	IA2	IA2
LMU_3_0025411	IA2	IA2
LMU_3_0025412	IA2	IA2
LMU_3_0025413	IA2	IA2
LMU_3_0025414	IA2	IA2
LMU_3_0025415	IA2	IA2
LMU_3_0025416	IA2	IA2
LMU_3_0025417	IA2	IA2
LMU_3_0025418	IA2	IA2
LMU_3_0025419	IA2	IA2
LMU_3_0025420	IA2	IA2
LMU_3_0025421	IA2	IA2
LMU_3_0025422	IA2	IA2
LMU_3_0025423	IA2	IA2
LMU_3_0025424	IA2	IA2
LMU_3_0025425	IA2	IA2
LMU_3_0025426	IA2	IA2
MRN_0027010	IA	IA
MRN_0027011	IA	IA
MRN_0027012	IA	IA
MRN_0027013	IA	IA
MRN_0027015	IA	IA
MRN_0027017	IA	IA
MRN_0027018	IA	IA
MRN_0027019	IA	IA
MRN_0027020	IA	IA
MRN_0027021	IA	IA
MRN_0027022	IA	IA
MRN_0027025	IA	IA
MRN_0027028	IA	IA
MRN_0027029	IA	IA
MRN_0027030	IA	IA
MRN_0027033	IA	IA
MRN_0027035	IA	IA
MRN_0027036	IA	IA
MRN_0027038	IA	IA
MRN_0027041	IA	IA
MRN_0027042	IA	IA
MRN_0027044	IA	IA
MRN_0027045	IA	IA
MRN_0027046	IA	IA
MRN_0027047	IA	IA
MRN_0027048	IA	IA
MRN_0027051	IA	IA
MRN_0027052	IA	IA
MRN_0027053	IA	IA
MRN_0027410	IA	IA
MRN_0027411	IA	IA
MRN_0027412	IA	IA
MRN_0027413	IA	IA
MRN_0027417	IA	IA
MRN_0027418	IA	IA
MRN_0027419	IA	IA
NKI_TRT_0021001_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_0021001_2500	IA2	IA2
NKI_TRT_0021001_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_0021002_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_0021002_2500	IA2	IA2
NKI_TRT_0021002_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_0021006_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_0021006_2500	IA2	IA2
NKI_TRT_0021006_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_0021018_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_0021018_2500	IA2	IA2
NKI_TRT_0021018_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_0021024_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_0021024_2500	IA2	IA2
NKI_TRT_0021024_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_1427581_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_1427581_2500	IA2	IA2
NKI_TRT_1427581_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_1793622_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_1793622_2500	IA2	IA2
NKI_TRT_1793622_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_1961098_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_1961098_2500	IA2	IA2
NKI_TRT_1961098_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_2475376_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_2475376_2500	IA2	IA2
NKI_TRT_2475376_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_4288245_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_4288245_2500	IA2	IA2
NKI_TRT_4288245_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_8574662_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_8574662_2500	IA2	IA2
NKI_TRT_8574662_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_8735778_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_8735778_2500	IA2	IA2
NKI_TRT_8735778_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
NKI_TRT_9630905_1400	SliceOrderInfo_NKI1400.txt	SliceOrderInfo_NKI1400.txt
NKI_TRT_9630905_2500	IA2	IA2
NKI_TRT_9630905_645	SliceOrderInfo_NKI645.txt	SliceOrderInfo_NKI645.txt
SWU_4_0025629	IA2	IA2
SWU_4_0025630	IA2	IA2
SWU_4_0025631	IA2	IA2
SWU_4_0025632	IA2	IA2
SWU_4_0025633	IA2	IA2
SWU_4_0025634	IA2	IA2
SWU_4_0025635	IA2	IA2
SWU_4_0025636	IA2	IA2
SWU_4_0025637	IA2	IA2
SWU_4_0025638	IA2	IA2
SWU_4_0025639	IA2	IA2
SWU_4_0025640	IA2	IA2
SWU_4_0025641	IA2	IA2
SWU_4_0025642	IA2	IA2
SWU_4_0025643	IA2	IA2
SWU_4_0025644	IA2	IA2
SWU_4_0025645	IA2	IA2
SWU_4_0025646	IA2	IA2
SWU_4_0025647	IA2	IA2
SWU_4_0025648	IA2	IA2
SWU_4_0025649	IA2	IA2
SWU_4_0025650	IA2	IA2
SWU_4_0025651	IA2	IA2
SWU_4_0025652	IA2	IA2
SWU_4_0025653	IA2	IA2
SWU_4_0025654	IA2	IA2
SWU_4_0025655	IA2	IA2
SWU_4_0025656	IA2	IA2
SWU_4_0025657	IA2	IA2
SWU_4_0025658	IA2	IA2
SWU_4_0025659	IA2	IA2
SWU_4_0025660	IA2	IA2
SWU_4_0025661	IA2	IA2
SWU_4_0025662	IA2	IA2
SWU_4_0025663	IA2	IA2
SWU_4_0025664	IA2	IA2
SWU_4_0025665	IA2	IA2
SWU_4_0025666	IA2	IA2
SWU_4_0025667	IA2	IA2
SWU_4_0025668	IA2	IA2
SWU_4_0025669	IA2	IA2
SWU_4_0025670	IA2	IA2
SWU_4_0025671	IA2	IA2
SWU_4_0025672	IA2	IA2
SWU_4_0025673	IA2	IA2
SWU_4_0025674	IA2	IA2
SWU_4_0025675	IA2	IA2
SWU_4_0025676	IA2	IA2
SWU_4_0025677	IA2	IA2
SWU_4_0025678	IA2	IA2
SWU_4_0025679	IA2	IA2
SWU_4_0025680	IA2	IA2
SWU_4_0025681	IA2	IA2
SWU_4_0025682	IA2	IA2
SWU_4_0025683	IA2	IA2
SWU_4_0025684	IA2	IA2
SWU_4_0025685	IA2	IA2
SWU_4_0025686	IA2	IA2
SWU_4_0025687	IA2	IA2
SWU_4_0025688	IA2	IA2
SWU_4_0025689	IA2	IA2
SWU_4_0025690	IA2	IA2
SWU_4_0025691	IA2	IA2
SWU_4_0025692	IA2	IA2
SWU_4_0025693	IA2	IA2
SWU_4_0025694	IA2	IA2
SWU_4_0025695	IA2	IA2
SWU_4_0025696	IA2	IA2
SWU_4_0025697	IA2	IA2
SWU_4_0025698	IA2	IA2
SWU_4_0025699	IA2	IA2
SWU_4_0025700	IA2	IA2
SWU_4_0025701	IA2	IA2
SWU_4_0025702	IA2	IA2
SWU_4_0025703	IA2	IA2
SWU_4_0025704	IA2	IA2
SWU_4_0025705	IA2	IA2
SWU_4_0025706	IA2	IA2
SWU_4_0025707	IA2	IA2
SWU_4_0025708	IA2	IA2
SWU_4_0025709	IA2	IA2
SWU_4_0025710	IA2	IA2
SWU_4_0025711	IA2	IA2
SWU_4_0025712	IA2	IA2
SWU_4_0025713	IA2	IA2
SWU_4_0025714	IA2	IA2
SWU_4_0025715	IA2	IA2
SWU_4_0025716	IA2	IA2
SWU_4_0025717	IA2	IA2
SWU_4_0025718	IA2	IA2
SWU_4_0025719	IA2	IA2
SWU_4_0025720	IA2	IA2
SWU_4_0025721	IA2	IA2
SWU_4_0025722	IA2	IA2
SWU_4_0025723	IA2	IA2
SWU_4_0025724	IA2	IA2
SWU_4_0025725	IA2	IA2
SWU_4_0025726	IA2	IA2
SWU_4_0025727	IA2	IA2
SWU_4_0025728	IA2	IA2
SWU_4_0025729	IA2	IA2
SWU_4_0025730	IA2	IA2
SWU_4_0025731	IA2	IA2
SWU_4_0025732	IA2	IA2
SWU_4_0025733	IA2	IA2
SWU_4_0025734	IA2	IA2
SWU_4_0025735	IA2	IA2
SWU_4_0025736	IA2	IA2
SWU_4_0025737	IA2	IA2
SWU_4_0025738	IA2	IA2
SWU_4_0025739	IA2	IA2
SWU_4_0025740	IA2	IA2
SWU_4_0025741	IA2	IA2
SWU_4_0025742	IA2	IA2
SWU_4_0025743	IA2	IA2
SWU_4_0025744	IA2	IA2
SWU_4_0025745	IA2	IA2
SWU_4_0025747	IA2	IA2
SWU_4_0025748	IA2	IA2
SWU_4_0025749	IA2	IA2
SWU_4_0025750	IA2	IA2
SWU_4_0025751	IA2	IA2
SWU_4_0025752	IA2	IA2
SWU_4_0025753	IA2	IA2
SWU_4_0025754	IA2	IA2
SWU_4_0025755	IA2	IA2
SWU_4_0025756	IA2	IA2
SWU_4_0025757	IA2	IA2
SWU_4_0025758	IA2	IA2
SWU_4_0025759	IA2	IA2
SWU_4_0025760	IA2	IA2
SWU_4_0025761	IA2	IA2
SWU_4_0025762	IA2	IA2
SWU_4_0025763	IA2	IA2
SWU_4_0025764	IA2	IA2
SWU_4_0025765	IA2	IA2
SWU_4_0025766	IA2	IA2
SWU_4_0025767	IA2	IA2
SWU_4_0025768	IA2	IA2
SWU_4_0025769	IA2	IA2
SWU_4_0025770	IA2	IA2
SWU_4_0025771	IA2	IA2
SWU_4_0025772	IA2	IA2
SWU_4_0025773	IA2	IA2
SWU_4_0025774	IA2	IA2
SWU_4_0025775	IA2	IA2
SWU_4_0025776	IA2	IA2
SWU_4_0025777	IA2	IA2
SWU_4_0025778	IA2	IA2
SWU_4_0025779	IA2	IA2
SWU_4_0025780	IA2	IA2
SWU_4_0025781	IA2	IA2
SWU_4_0025782	IA2	IA2
SWU_4_0025783	IA2	IA2
SWU_4_0025784	IA2	IA2
SWU_4_0025785	IA2	IA2
SWU_4_0025786	IA2	IA2
SWU_4_0025787	IA2	IA2
SWU_4_0025788	IA2	IA2
SWU_4_0025789	IA2	IA2
SWU_4_0025790	IA2	IA2
SWU_4_0025791	IA2	IA2
SWU_4_0025792	IA2	IA2
SWU_4_0025793	IA2	IA2
SWU_4_0025794	IA2	IA2
SWU_4_0025795	IA2	IA2
SWU_4_0025796	IA2	IA2
SWU_4_0025797	IA2	IA2
SWU_4_0025798	IA2	IA2
SWU_4_0025799	IA2	IA2
SWU_4_0025800	IA2	IA2
SWU_4_0025801	IA2	IA2
SWU_4_0025802	IA2	IA2
SWU_4_0025803	IA2	IA2
SWU_4_0025804	IA2	IA2
SWU_4_0025805	IA2	IA2
SWU_4_0025806	IA2	IA2
SWU_4_0025807	IA2	IA2
SWU_4_0025808	IA2	IA2
SWU_4_0025809	IA2	IA2
SWU_4_0025810	IA2	IA2
SWU_4_0025811	IA2	IA2
SWU_4_0025812	IA2	IA2
SWU_4_0025813	IA2	IA2
SWU_4_0025814	IA2	IA2
SWU_4_0025815	IA2	IA2
SWU_4_0025816	IA2	IA2
SWU_4_0025817	IA2	IA2
SWU_4_0025818	IA2	IA2
SWU_4_0025819	IA2	IA2
SWU_4_0025820	IA2	IA2
SWU_4_0025821	IA2	IA2
SWU_4_0025822	IA2	IA2
SWU_4_0025823	IA2	IA2
SWU_4_0025824	IA2	IA2
SWU_4_0025825	IA2	IA2
SWU_4_0025826	IA2	IA2
SWU_4_0025827	IA2	IA2
SWU_4_0025828	IA2	IA2
SWU_4_0025829	IA2	IA2
SWU_4_0025830	IA2	IA2
SWU_4_0025831	IA2	IA2
SWU_4_0025832	IA2	IA2
SWU_4_0025833	IA2	IA2
SWU_4_0025834	IA2	IA2
SWU_4_0025835	IA2	IA2
SWU_4_0025836	IA2	IA2
SWU_4_0025837	IA2	IA2
SWU_4_0025838	IA2	IA2
SWU_4_0025839	IA2	IA2
SWU_4_0025840	IA2	IA2
SWU_4_0025841	IA2	IA2
SWU_4_0025842	IA2	IA2
SWU_4_0025843	IA2	IA2
SWU_4_0025844	IA2	IA2
SWU_4_0025845	IA2	IA2
SWU_4_0025846	IA2	IA2
SWU_4_0025847	IA2	IA2
SWU_4_0025848	IA2	IA2
SWU_4_0025849	IA2	IA2
SWU_4_0025850	IA2	IA2
SWU_4_0025851	IA2	IA2
SWU_4_0025852	IA2	IA2
SWU_4_0025853	IA2	IA2
SWU_4_0025854	IA2	IA2
SWU_4_0025855	IA2	IA2
SWU_4_0025856	IA2	IA2
SWU_4_0025857	IA2	IA2
SWU_4_0025858	IA2	IA2
SWU_4_0025859	IA2	IA2
SWU_4_0025860	IA2	IA2
SWU_4_0025861	IA2	IA2
SWU_4_0025862	IA2	IA2
SWU_4_0025863	IA2	IA2
